date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Alpha,1.0,1.69,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Total,59.0,100.0,,
2021-01-01,California,State,Omicron,1.0,1.69,,
2021-01-01,California,State,Epsilon,28.0,47.46,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Other,29.0,49.15,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Delta,1.0,0.93,,
2021-01-02,California,State,Other,53.0,49.53,,
2021-01-02,California,State,Omicron,1.0,0.93,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Epsilon,46.0,42.99,,
2021-01-02,California,State,Total,107.0,100.0,,
2021-01-02,California,State,Alpha,6.0,5.61,,
2021-01-03,California,State,Alpha,5.0,1.87,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Delta,2.0,0.75,,
2021-01-03,California,State,Epsilon,117.0,43.82,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Gamma,1.0,0.37,,
2021-01-03,California,State,Total,267.0,100.0,,
2021-01-03,California,State,Omicron,2.0,0.75,,
2021-01-03,California,State,Other,140.0,52.43,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Alpha,5.0,0.4,,
2021-01-04,California,State,Other,558.0,44.29,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Total,1260.0,100.0,,
2021-01-04,California,State,Epsilon,692.0,54.92,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Other,356.0,43.9,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Epsilon,439.0,54.13,,
2021-01-05,California,State,Total,811.0,100.0,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,1.97,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Omicron,2.0,0.54,,
2021-01-06,California,State,Epsilon,207.0,55.95,,
2021-01-06,California,State,Mu,0.0,0.0,,
2021-01-06,California,State,Delta,3.0,0.81,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Other,155.0,41.89,,
2021-01-06,California,State,Alpha,3.0,0.81,,
2021-01-06,California,State,Total,370.0,100.0,,
2021-01-07,California,State,Other,127.0,42.47,202.57142857142,44.689568231957
2021-01-07,California,State,Gamma,0.0,0.0,0.14285714285,0.031515915537
2021-01-07,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-07,California,State,Epsilon,155.0,51.84,240.57142857142,53.072801764891
2021-01-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-07,California,State,Total,299.0,100.0,453.28571428571,100.0
2021-01-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-07,California,State,Delta,0.0,0.0,1.57142857142,0.346675070911
2021-01-07,California,State,Omicron,2.0,0.67,1.14285714285,0.252127324299
2021-01-07,California,State,Alpha,15.0,5.02,7.28571428571,1.607311692405
2021-01-08,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-08,California,State,Total,147.0,100.0,465.85714285714,100.0
2021-01-08,California,State,Alpha,2.0,1.36,7.42857142857,1.594602882551
2021-01-08,California,State,Other,65.0,44.22,207.71428571428,44.58754983134
2021-01-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-08,California,State,Omicron,0.0,0.0,1.0,0.214658080343
2021-01-08,California,State,Epsilon,78.0,53.06,247.71428571428,53.173873045078
2021-01-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-08,California,State,Delta,2.0,1.36,1.85714285714,0.398650720638
2021-01-08,California,State,Gamma,0.0,0.0,0.14285714285,0.030665440049
2021-01-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-09,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-09,California,State,Alpha,6.0,1.12,7.42857142857,1.409596096503
2021-01-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-09,California,State,Other,220.0,41.12,231.57142857142,43.941447546761
2021-01-09,California,State,Gamma,0.0,0.0,0.14285714285,0.02710761724
2021-01-09,California,State,Epsilon,307.0,57.38,285.0,54.079696394687
2021-01-09,California,State,Total,535.0,100.0,527.0,100.0
